위치,거리,구
광주-기타,30,광주
광주-산성동,26,수정구
광주-오포읍,22,광주
기타-궁내동,15,분당구
기타-금곡동,12,분당구
기타-기타,20,성남
기타-비조합원,20,성남
기타-중앙동,25,중원구
기흥구-공세동,23,기흥구
기흥구-구갈동,19,기흥구
기흥구-기타,16,기흥구
기흥구-동백동,16,기흥구
기흥구-마북동,16,기흥구
기흥구-보라동,19,기흥구
기흥구-보정동,11,기흥구
기흥구-상갈동,19,기흥구
기흥구-상하동,22,기흥구
기흥구-서천동,19,기흥구
기흥구-신갈동,14,기흥구
기흥구-언남동,14,기흥구
기흥구-영덕동,15,기흥구
기흥구-죽전동,13,기흥구
기흥구-중동,21,기흥구
기흥구-지곡동,26,기흥구
기흥구-청덕동,19,기흥구
분당구-구미동,16,분당구
분당구-궁내동,15,분당구
분당구-백현동,17,분당구
분당구-삼평동,18,분당구
분당구-서현동,21,분당구
분당구-수내동,19,분당구
분당구-야탑동,21,분당구
분당구-이매동,18,분당구
분당구-정자동,14,분당구
분당구-중동,20,분당구
분당구-판교동,17,분당구
서울 강남구-기타,29,서울 강남구
서울 송파구-기타,32,서울 송파구
수원 권선구-금곡동,29,수원 권선구
수원 권선구-기타,27,수원 권선구
수원 영통구-기타,18,수원 영통구
수원 장안구-기타,18,수원 장안구
수원 장안구-정자동,20,수원 장안구
수원 팔달구-기타,12,수원 팔달구
수정구-단대동,27,수정구
수정구-위례(창곡)동,28,수정구
수지구-기타,9,수지구
수지구-동천동,11,수지구
수지구-상현동,8,수지구
수지구-성복동,7,수지구
수지구-신봉동,2,수지구
수지구-죽전동,12,수지구
수지구-풍덕천동,7,수지구
중원구-금광동,27,중원구
중원구-여수동,21,중원구
중원구-하대원동,24,중원구
처인구-고림동,20,처인구
처인구-기타,28,처인구
처인구-삼가동,22,처인구
하남-기타,37,하남
화성-기타,38,화성
화성-보라동,19,화성
