회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,구매매장,간식,건강,과실,기타,반찬,생활용품,서류,수산,양념/가루,음료,잡곡,주곡,주류,채소,축산물,주말,평일,1회당평균구매물품수,거리
1000163136,1,0,73.0,0,0,0,70대이상,138892.0,수지구,동천동,1,4,0,매장A,0.0,0.0,0.0,0.0,0.15384615384615385,0.3076923076923077,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.25,0.75,3.25,3
1000491648,1,0,37.0,0,0,0,30대,663152.0,수지구,동천동,0,32,0,매장A,0.17684887459807072,0.003215434083601286,0.01607717041800643,0.0,0.08038585209003216,0.06430868167202572,0.0,0.04823151125401929,0.11254019292604503,0.12861736334405144,0.0,0.0,0.0,0.17684887459807072,0.1929260450160772,0.34375,0.65625,1.94375,3
1000508352,1,0,35.0,0,0,0,30대,7083.0,기흥구,상하동,0,1,0,매장A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,22
1000577024,1,0,47.0,0,0,0,40대,218435.0,기타,기타,0,3,1,매장A,0.0,0.0,0.05263157894736842,0.0,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,0.631578947368421,0.05263157894736842,0.0,0.0,0.0,0.10526315789473684,0.0,1.0,6.333333333333332,17
1000796032,1,0,40.0,0,0,0,40대,117067.0,수지구,동천동,0,6,1,매장A,0.08333333333333333,0.0,0.0,0.0,0.4166666666666667,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,2.0,3
1000807168,1,0,39.0,0,0,0,30대,305634.0,수지구,동천동,0,33,0,매장A,0.21875,0.0,0.015625,0.0,0.203125,0.0625,0.0,0.09375,0.015625,0.21875,0.0,0.0,0.0,0.140625,0.03125,0.18181818181818185,0.8181818181818181,1.93939393939394,3
1001440064,1,0,50.0,0,0,0,50대,298551.0,수지구,동천동,0,25,1,매장A,0.0,0.0,0.0,0.0,0.175,0.0,0.05,0.025,0.025,0.0,0.0,0.0,0.0,0.25,0.475,0.24,0.7600000000000001,1.6,3
1001595968,1,0,50.0,0,0,0,50대,56475.0,수지구,동천동,0,4,1,매장A,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.25,0.75,2.25,3
1001677632,1,0,78.0,0,0,0,70대이상,2967.0,수지구,동천동,1,1,0,매장A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3
1001707328,1,0,42.0,0,0,0,40대,13209.0,수지구,동천동,0,2,1,매장A,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3
1001714752,1,0,52.0,0,0,0,50대,110844.0,수지구,동천동,0,3,1,매장A,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.6666666666666666,0.3333333333333333,2.333333333333333,3
1001744448,1,0,46.0,0,0,0,40대,36565.0,수지구,풍덕천동,0,2,1,매장A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,7
1002102656,1,0,59.0,1,0,0,50대,494971.0,수지구,동천동,0,27,1,매장A,0.3076923076923077,0.0,0.042735042735042736,0.0,0.017094017094017096,0.08547008547008547,0.0,0.0,0.0,0.11965811965811965,0.034188034188034185,0.0,0.0,0.2222222222222222,0.17094017094017094,0.3703703703703704,0.6296296296296295,2.1666666666666665,3
1003088192,1,0,66.0,0,0,0,60대,13209.0,기타,기타,1,1,1,매장A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,17
1004617536,1,0,41.0,0,1,0,40대,27951.0,수지구,죽전동,0,1,1,매장A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10
1004836544,1,0,40.0,0,0,0,40대,317985.0,수지구,동천동,0,17,1,매장A,0.3767123287671233,0.006849315068493151,0.0,0.0,0.136986301369863,0.03424657534246575,0.0,0.03424657534246575,0.20547945205479454,0.03424657534246575,0.0,0.0,0.0,0.0,0.17123287671232876,0.4705882352941176,0.5294117647058824,1.7176470588235293,3
1005389632,1,0,54.0,1,0,0,50대,522272.0,수지구,동천동,0,18,1,매장A,0.10416666666666667,0.0,0.04166666666666666,0.0,0.0625,0.0,0.0,0.14583333333333334,0.0,0.0,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.4166666666666667,0.16666666666666666,0.3888888888888889,0.6111111111111109,2.6666666666666665,3
1005430464,1,0,57.0,0,0,0,50대,19144.0,수지구,동천동,0,1,1,매장A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3
100548800,1,0,53.0,0,0,0,50대,98209.0,수지구,동천동,0,2,1,매장A,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,2.0,3
1005500992,1,0,37.0,0,0,0,30대,63558.0,수지구,동천동,0,2,0,매장A,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3
1005729280,1,1,50.0,0,0,0,50대,36564.0,분당구,구미동,0,6,1,매장A,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0,1.6666666666666667,14
1005942720,1,0,46.0,0,0,0,40대,29865.0,수지구,동천동,0,1,1,매장A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3
1005976128,1,0,40.0,0,0,0,40대,149132.0,수지구,동천동,0,11,1,매장A,0.15,0.0,0.0,0.0,0.1,0.15,0.0,0.05,0.15,0.0,0.0,0.0,0.0,0.25,0.15,0.4545454545454545,0.5454545454545454,1.8181818181818181,3
1006050368,1,0,66.0,0,0,0,60대,67003.0,수지구,동천동,1,4,1,매장A,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.25,0.75,1.75,3
1006313920,1,0,40.0,0,0,0,40대,8998.0,수지구,동천동,0,1,1,매장A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3
1006436416,1,0,45.0,0,0,0,40대,15507.0,수지구,동천동,0,2,1,매장A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,3
1006614592,1,0,38.0,0,0,0,30대,411124.0,수지구,동천동,0,17,0,매장A,0.41025641025641024,0.02564102564102564,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.0,0.0,0.02564102564102564,0.05128205128205128,0.15384615384615385,0.411764705882353,0.5882352941176471,2.2941176470588243,3
1006891136,1,0,47.0,0,0,0,40대,261986.0,수지구,동천동,0,12,1,매장A,0.1935483870967742,0.0,0.0,0.0,0.12903225806451613,0.0,0.0,0.0967741935483871,0.03225806451612903,0.0,0.0,0.0,0.0,0.41935483870967744,0.12903225806451613,0.3333333333333333,0.6666666666666666,2.583333333333333,3
1007314304,1,0,38.0,1,0,0,30대,397528.0,수지구,동천동,0,23,0,매장A,0.175,0.0,0.075,0.0,0.15,0.0,0.0,0.0,0.2,0.025,0.075,0.025,0.0,0.1,0.175,0.3478260869565217,0.6521739130434783,1.7391304347826086,3
1007739328,1,0,56.0,0,0,0,50대,23739.0,수지구,동천동,0,1,1,매장A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3
