회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,구매매장,간식,건강,과실,기타,반찬,생활용품,서류,수산,양념/가루,음료,잡곡,주곡,주류,채소,축산물,주말,평일,1회당평균구매물품수,거리
1000330176,1,0,64.0,0,0,0,60대,317217.0,수지구,신봉동,1,20,1,매장D,0.1111111111111111,0.0,0.0,0.0,0.1851851851851852,0.0,0.037037037037037035,0.0,0.1851851851851852,0.0,0.0,0.14814814814814814,0.0,0.1111111111111111,0.2222222222222222,0.2,0.8,1.35,2
1001592256,1,0,40.0,0,0,0,40대,38288.0,수지구,성복동,0,1,1,매장D,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7
1001712896,1,0,49.0,0,0,0,40대,37523.0,수지구,신봉동,0,3,1,매장D,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.3333333333333333,1.3333333333333333,2
1001750016,1,0,44.0,0,0,0,40대,3637.0,분당구,백현동,0,1,1,매장D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17
1003019520,1,0,72.0,0,0,0,70대이상,80022.0,기타,기타,1,5,0,매장D,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.4,0.6000000000000001,1.8,20
1004585984,1,0,61.0,0,0,0,60대,193547.0,수지구,신봉동,1,9,1,매장D,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.0,0.4,0.0,0.0,0.0,0.0,1.0,1.1111111111111112,2
1005029568,1,0,55.0,0,0,0,50대,150951.0,수지구,성복동,0,7,1,매장D,0.04,0.0,0.0,0.0,0.6,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2857142857142857,0.7142857142857142,3.571428571428572,7
1006132032,1,0,64.0,0,0,0,60대,39820.0,수지구,신봉동,1,6,1,매장D,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.09090909090909093,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909093,0.6666666666666666,0.3333333333333333,1.8333333333333333,2
1006670272,1,0,72.0,0,0,0,70대이상,170191.0,기타,기타,1,10,0,매장D,0.05555555555555555,0.0,0.027777777777777776,0.0,0.16666666666666666,0.0,0.05555555555555555,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.0,0.6111111111111112,0.0,0.2,0.8,3.6,20
1007219648,1,0,51.0,0,0,0,50대,5935.0,수지구,성복동,0,1,1,매장D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7
1007830272,1,0,56.0,0,0,0,50대,123000.0,수지구,신봉동,0,12,1,매장D,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.0,0.5555555555555556,0.05555555555555555,0.16666666666666666,0.8333333333333333,1.5,2
1008335104,1,0,51.0,0,0,0,50대,67005.0,분당구,구미동,0,2,1,매장D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,16
1008955008,1,0,42.0,1,0,0,40대,479273.0,수지구,성복동,0,23,1,매장D,0.17045454545454544,0.0,0.011363636363636364,0.0,0.3409090909090909,0.0,0.011363636363636364,0.0,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.2840909090909091,0.11363636363636365,0.43478260869565216,0.5652173913043479,3.8260869565217392,7
1009355904,1,0,37.0,0,1,0,30대,14741.0,수지구,신봉동,0,1,0,매장D,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
1010090880,1,0,42.0,0,1,0,40대,646805.0,수지구,풍덕천동,0,42,1,매장D,0.024096385542168683,0.0,0.012048192771084338,0.0,0.3253012048192771,0.0,0.0,0.13253012048192772,0.04819277108433735,0.0,0.07228915662650602,0.012048192771084338,0.0,0.3373493975903614,0.03614457831325301,0.4761904761904762,0.5238095238095238,1.9761904761904765,7
101010944,1,0,69.0,0,0,0,60대,7658.0,수원 팔달구,기타,1,1,1,매장D,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12
1010144704,1,1,77.0,0,0,0,70대이상,457930.0,수지구,신봉동,1,37,0,매장D,0.3986013986013986,0.0,0.06993006993006994,0.0,0.0979020979020979,0.0,0.0,0.02797202797202797,0.013986013986013986,0.04195804195804196,0.0,0.013986013986013986,0.0,0.22377622377622375,0.11188811188811187,0.4324324324324325,0.5675675675675675,1.9324324324324325,2
1010430528,1,0,65.0,0,0,0,60대,22973.0,수지구,풍덕천동,1,3,1,매장D,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,7
1010803584,1,0,70.0,0,0,0,70대이상,25653.0,수지구,동천동,1,2,0,매장D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.5,0.5,2.0,11
1011540416,1,0,40.0,0,0,0,40대,229344.0,수지구,신봉동,0,12,1,매장D,0.09523809523809523,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.2380952380952381,0.047619047619047616,0.0,0.0,0.09523809523809523,0.0,0.3333333333333333,0.09523809523809523,0.6666666666666667,0.3333333333333333,1.75,2
1012026688,1,0,62.0,0,0,0,60대,133819.0,수지구,신봉동,1,8,1,매장D,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0625,0.1875,0.0,0.0,0.0,0.0,0.4375,0.375,0.625,2.0,2
1012837760,1,0,46.0,0,0,0,40대,7849.0,수지구,동천동,0,1,1,매장D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,11
1012941696,1,0,51.0,0,0,0,50대,375168.0,수지구,풍덕천동,0,6,1,매장D,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.375,0.125,0.5,0.5,1.3333333333333333,7
1014864512,1,0,78.0,0,0,0,70대이상,78397.0,수지구,신봉동,1,5,0,매장D,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.4,0.6,1.4,2
1015935424,1,0,36.0,0,0,0,30대,83085.0,수지구,신봉동,0,3,0,매장D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.6666666666666666,2.333333333333333,2
1016044928,1,0,52.0,0,0,0,50대,29482.0,수지구,신봉동,0,1,1,매장D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2
1018615488,1,0,38.0,1,0,0,30대,608207.0,수지구,신봉동,0,15,0,매장D,0.27823240589198034,0.016366612111292964,0.049099836333878884,0.0,0.0818330605564648,0.016366612111292964,0.032733224222585934,0.049099836333878884,0.049099836333878884,0.0016366612111292965,0.016366612111292964,0.016366612111292964,0.016366612111292964,0.1800327332242226,0.19639934533551556,0.5333333333333333,0.4666666666666667,4.073333333333333,2
1019435840,1,0,58.0,0,0,0,50대,286932.0,수지구,동천동,0,18,1,매장D,0.08823529411764706,0.0,0.029411764705882356,0.0,0.17647058823529413,0.029411764705882356,0.029411764705882356,0.0,0.08823529411764706,0.0,0.0,0.029411764705882356,0.0,0.29411764705882354,0.2352941176470588,0.2777777777777778,0.7222222222222222,1.8888888888888888,11
1019894272,1,0,36.0,0,0,0,30대,181486.0,광주,오포읍,0,13,0,매장D,0.2307692307692308,0.0,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.07692307692307693,0.1153846153846154,0.0,0.0,0.0,0.0,0.4230769230769231,0.038461538461538464,0.38461538461538464,0.6153846153846154,2.0,22
1020189376,1,0,48.0,0,0,0,40대,35800.0,수지구,신봉동,0,3,1,매장D,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.6666666666666666,1.3333333333333333,2
1022654144,1,0,57.0,0,0,0,50대,43840.0,수지구,성복동,0,1,1,매장D,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,1.0,7.0,7
1024207616,1,0,57.0,0,0,0,50대,135542.0,기타,기타,0,7,1,매장D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.5714285714285714,2.142857142857143,20
1024532416,1,0,43.0,0,0,0,40대,175838.0,수지구,신봉동,0,7,1,매장D,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.1111111111111111,0.5,0.14285714285714285,0.8571428571428571,2.5714285714285716,2
1024695744,1,0,36.0,0,0,0,30대,45084.0,분당구,구미동,0,5,0,매장D,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.4,0.6000000000000001,1.4,16
1024911040,1,0,43.0,0,1,0,40대,9572.0,수지구,신봉동,0,1,1,매장D,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,2.0,2
1025699840,1,0,48.0,0,0,0,40대,10338.0,수지구,신봉동,0,1,1,매장D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2
1026403264,1,0,43.0,0,0,0,40대,139369.0,수지구,신봉동,0,5,1,매장D,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.6000000000000001,0.4,1.8,2
1026698368,1,0,49.0,0,0,0,40대,20006.0,수지구,성복동,0,2,1,매장D,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.5,7
