회원번호,조합원상태,성별,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,연령대_30_50대,방문횟수,연령
1000012800,1,0,0,0,0,50대,7658.0,수지구,풍덕천동,0,1,1,58.0
1000103744,1,0,0,0,0,30대,36948.0,처인구,고림동,0,1,1,34.0
1000122304,1,0,0,0,0,30대,142831.0,광주,기타,0,1,15,38.0
1000163136,1,0,0,0,0,60대이상,138892.0,수지구,동천동,1,0,4,73.0
1000281920,1,0,1,0,0,40대,592543.0,수지구,풍덕천동,0,1,28,42.0
1000330176,1,0,0,0,0,60대이상,317217.0,수지구,신봉동,1,0,20,64.0
1000491648,1,0,0,0,0,30대,663152.0,수지구,동천동,0,1,32,37.0
1000508352,1,0,0,0,0,30대,7083.0,기흥구,상하동,0,1,1,35.0
1000565888,1,0,0,0,0,50대,49296.0,수지구,상현동,0,1,5,52.0
1000577024,1,0,0,0,0,40대,218435.0,기타,기타,0,1,3,47.0
1000796032,1,0,0,0,0,40대,113621.0,수지구,동천동,0,1,6,40.0
1000807168,1,0,0,0,0,30대,305634.0,수지구,동천동,0,1,33,39.0
1001042880,1,0,0,0,0,40대,10721.0,수지구,신봉동,0,1,3,42.0
1001111552,1,0,0,0,0,40대,831282.0,수지구,풍덕천동,0,1,34,47.0
100134912,1,0,0,0,0,40대,21709.0,수지구,성복동,0,1,3,49.0
1001440064,1,0,0,0,0,50대,298551.0,수지구,동천동,0,1,25,50.0
1001592256,1,0,0,0,0,40대,38288.0,수지구,성복동,0,1,1,40.0
1001595968,1,0,0,0,0,50대,56475.0,수지구,동천동,0,1,4,50.0
1001677632,1,0,0,0,0,60대이상,2967.0,수지구,동천동,1,0,1,78.0
1001707328,1,0,0,0,0,40대,13209.0,수지구,동천동,0,1,2,42.0
1001712896,1,0,0,0,0,40대,37523.0,수지구,신봉동,0,1,3,49.0
1001714752,1,0,0,0,0,50대,110844.0,수지구,동천동,0,1,3,52.0
1001744448,1,0,0,0,0,40대,36565.0,수지구,풍덕천동,0,1,2,46.0
1001750016,1,0,0,0,0,40대,3637.0,분당구,백현동,0,1,1,44.0
1001776000,1,1,0,0,0,50대,187413.0,기타,기타,0,1,6,57.0
1001982016,1,0,0,0,0,50대,22016.0,수지구,상현동,0,1,2,52.0
1002102656,1,0,1,0,0,50대,494971.0,수지구,동천동,0,1,27,59.0
1002106368,1,0,0,0,0,40대,363546.0,분당구,판교동,0,1,15,40.0
1002115648,1,0,0,0,0,60대이상,35416.0,수지구,풍덕천동,1,0,3,61.0
1002182464,1,0,0,0,0,30대,26993.0,수지구,풍덕천동,0,1,4,37.0
100224000,1,0,0,0,0,60대이상,934712.0,수지구,상현동,1,0,43,63.0
100225856,1,0,0,0,0,40대,27185.0,수지구,풍덕천동,0,1,1,48.0
1003019520,1,0,0,0,0,60대이상,80022.0,기타,기타,1,0,5,72.0
1003088192,1,0,0,0,0,60대이상,13209.0,기타,기타,1,0,1,66.0
1004585984,1,0,0,0,0,60대이상,193547.0,수지구,신봉동,1,0,9,61.0
1004617536,1,0,0,1,0,40대,27951.0,수지구,죽전동,0,1,1,41.0
1004699200,1,0,0,0,0,40대,23930.0,수지구,풍덕천동,0,1,2,40.0
1004825408,1,0,0,0,0,40대,1209341.0,수지구,상현동,0,1,39,40.0
1004836544,1,0,0,0,0,40대,317985.0,수지구,동천동,0,1,17,40.0
1005029568,1,0,0,0,0,50대,150951.0,수지구,성복동,0,1,7,55.0
1005059264,1,0,0,0,0,30대,1471084.0,수지구,풍덕천동,0,1,53,39.0
1005142784,1,0,0,0,0,60대이상,220915.0,수지구,동천동,1,0,16,65.0
1005174336,1,0,0,0,0,30대,125968.0,수지구,성복동,0,1,1,37.0
1005230016,1,0,0,0,0,40대,24275.0,수지구,풍덕천동,0,1,3,42.0
1005389632,1,0,1,0,0,50대,522272.0,수지구,동천동,0,1,18,54.0
1005393344,1,0,0,0,0,40대,25270.0,수지구,죽전동,0,1,2,42.0
1005430464,1,0,0,0,0,50대,19144.0,수지구,동천동,0,1,1,57.0
100548800,1,0,0,0,0,50대,98209.0,수지구,동천동,0,1,2,53.0
1005500992,1,0,0,0,0,30대,63558.0,수지구,동천동,0,1,2,37.0
1005616064,1,0,0,0,0,60대이상,26705.0,수지구,상현동,1,0,3,73.0
1005669888,1,0,0,1,0,60대이상,57433.0,수지구,상현동,1,0,2,63.0
1005729280,1,1,0,0,0,50대,36564.0,분당구,구미동,0,1,6,50.0
1005732992,1,0,0,0,0,40대,62218.0,수지구,풍덕천동,0,1,4,44.0
1005924160,1,0,0,0,0,40대,191635.0,수지구,풍덕천동,0,1,16,40.0
1005942720,1,0,0,0,0,40대,29865.0,수지구,동천동,0,1,1,46.0
1005976128,1,0,0,0,0,40대,149132.0,수지구,동천동,0,1,11,40.0
1005983552,1,0,0,0,0,40대,6318.0,기흥구,동백동,0,1,1,43.0
